1,1,55.22,60.07,120.41999999999999,57.699999999999996,1,1,1.0
1,2,0.0,13.16,17.9,29.13,1,1,1.0
1,3,97.24,0.0,224.48000000000002,64.54,1,1,1.0
1,4,318.72,0.0,391.94999999999993,113.89,1,1,1.0
2,1,37.66,56.72,120.42000000000002,57.7,1,1,1.0
2,2,0.0,13.16,12.1,29.13,1,1,1.0
2,3,97.24,0.0,224.48000000000002,64.49,1,1,1.0
2,4,318.07,0.0,391.96,113.89,1,1,1.0
3,1,16.75,52.54,120.41999999999999,57.699999999999996,1,1,1.0
3,3,97.24,0.0,224.48000000000002,64.44,1,1,1.0
3,4,317.43,0.0,391.95,113.89,1,1,1.0
4,1,0.0,50.04,117.94,57.699999999999996,1,1,1.0
4,3,97.24,0.0,224.48000000000002,64.39,1,1,1.0
4,4,316.78,0.0,391.96000000000004,113.89,1,1,1.0
5,1,0.0,48.1,97.62,57.699999999999996,1,1,1.0
5,3,97.24,0.0,224.48000000000002,64.34,1,1,1.0
5,4,316.54,0.0,391.96,113.64,1,1,1.0
6,1,0.0,47.13,80.2,57.699999999999996,1,1,1.0
6,3,97.24,0.0,224.48000000000002,64.29,1,1,1.0
6,4,316.3,0.0,391.95,113.4,1,1,1.0
7,1,0.0,39.39,64.72,57.7,1,1,1.0
7,3,97.24,0.0,224.48000000000002,64.24,1,1,1.0
7,4,316.06,0.0,391.95,113.16,1,1,1.0
8,1,0.0,34.55,51.18,57.71000000000001,1,1,1.0
8,3,97.24,0.0,224.48000000000002,64.19,1,1,1.0
8,4,315.81,0.0,391.96,112.92,1,1,1.0
9,1,0.0,33.59,28.92,57.7,1,1,1.0
9,3,97.24,0.0,224.48000000000002,64.14,1,1,1.0
9,4,315.49,0.0,391.96000000000004,112.84,1,1,1.0
10,1,0.0,32.62,10.54,57.699999999999996,1,1,1.0
10,3,97.24,0.0,224.48000000000002,64.08,1,1,1.0
10,4,315.17,0.0,391.95,112.76,1,1,1.0
10,5,915.79,183.55,44.210000000000036,75.46999999999997,1,1,1.0
11,3,97.24,0.0,224.48000000000002,64.03,1,1,1.0
11,4,314.85,0.0,391.94999999999993,112.68,1,1,1.0
11,5,867.4,183.55,92.60000000000002,86.14999999999998,1,1,1.0
12,3,97.24,0.0,224.48000000000002,63.98,1,1,1.0
12,4,314.52,0.0,391.96000000000004,112.6,1,1,1.0
12,5,825.8,171.0,134.20000000000005,98.69999999999999,1,1,1.0
